이동네에서는 구경하기힘든 갑오징어숙회♡ 계란말이랑 청국장도 맛있었어요~ 한식안주들이라 집에서 술먹는것같은 기분이네요^^ 번창하세요!,두숫놈
전에도 왔는데 리뷰는 첨이네요 일단 기본 콩나물국이 너무너무 맛있습니다 얼큰하고 시원해서 술 먹으면서 해장이 되요ㅎ 계란말이도 크고 너무맛있습니다~ 지난번에는 오돌뼈 먹었는데 오돌뼈도 냄새도안나고 맛있었어요 담에 또 방문예정입니다~,두숫놈
기본안주가 왠만하면 그냥 과자로 내줄텐데 오이로 주시는게 상큼하니 좋았습니다계란말이도 탄 부분 하나없이 먹기좋게 잘 익어서 간이 딱 맞게 잘되서 계란말이 하나로 소주 5잔은 혼자 마신거 같네요 냉삼 주실때 한입 크기로 잘라서 주시고 구워 먹는데 잡내같은거 하나도 없고요 지방도 많지 않아서 정말 가성비 좋습니다 같이 구워 먹도록 준비 해주신 밑반찬도 맛있었습니다 맛있게 구워지라고 들기름 까지 준비 해두셔서 반찬 엄청 리필해서 먹었네요냉삼에 비빔면까지 같이 먹어주고 어묵탕이랑 닭볶음탕도 시켜 먹었습니다어묵탕은 국물이 탁하지 않고 너무 짜지도 않아서 깔끔하니 좋았고 닭볶음탕은 닭에 간이 잘 베어서 좋았습니다 맛도 맛이지만 가격이 너무 좋았습니다다음에 또 친구들이랑 놀러가서 잔뜩 먹고 싶네요.,두숫놈
제육 추천해서 먹었는데..간도 안맞고 고기는 뻑뻑하고..호박은 쌩이고..제가 입맛이 촌스러워 그러니 좀 짭짤하게 해달라했는데 맛은 여전하고 호박은 그제사 적당히 익었네요..자세히 보니 냉동고기 겹겹히 양념이나 간도 안베이게 볶아놔서 제 앞접시에 허여멀건한 양념 전혀 안베인부분 널어놓고.. 도저히 못 먹겠어서 한 70프로 남기고..제 앞접시보고 많은걸 느끼셨음 좋겠다 했더니 젊은놈?이 피식하는 듯 비웃더군요..제가 누군지는 의미 없겠지만..발전하시려면 그런 실력에 그런태도는 아닌것 같습니다^~두 숫놈이 어떤 관계인지 모르겠지만...음식 간도 못 맞추고 수정을 요구해도 못한다면... 하아..하남 정말 먹을데가 이리 없나 한숨만 나오네요.여기 맛있다는 사람 누구세요? 관계자?ㅋ,두숫놈
맛있게 잘먹었습니당!!,두숫놈
친절하시고 맛있어요ㅎㅎ,두숫놈
술찌라서 술은잘 안먹는데 안주가 너무 맛있어서 안주만먹다 나왔네요ㅠㅠ갑오징어 숙회랑 계란말이 강추입니다,두숫놈
전은 데워주시긴 하는데 다 식어있고 테이블에서는 행주 안 말린 냄새가 좀 심하게 나고 새로 생겨서 기대하고 갔는데 별로네요,두숫놈
양도 많고 맛있어요~👍🏻👍🏻,해장요리전문 임사부국밥 미사점
국밥 메뉴야 당연히 맛있구 밑반찬이 다양해서 좋았어요. 다음엔 다른 메뉴도 먹어봐야겠네요~,해장요리전문 임사부국밥 미사점
속이 텅 비었을 때 국밥이 최고죠 든든하게 배를 채워주니 행복해요 맛도 일품이라 기분까지 좋아져요 다음에 또 와야겠어요,해장요리전문 임사부국밥 미사점
국밥 한 그릇 뚝딱했는데 세상에 양 진짜 푸짐하네요! 이 가격에 이렇게 든든하기까지 하다니 단골 예약이요~,해장요리전문 임사부국밥 미사점
가성비 좋은 맛집을 찾아 헤맸는데 여기서 해결됐다. 국물이 진하고 재료도 신선해서 만족스러웠다.,해장요리전문 임사부국밥 미사점
가격 대비 양도 푸짐해서 여러모로 단골삼고싶네요 다음에 또 방문하고 싶은 곳입니다,해장요리전문 임사부국밥 미사점
배부르게 한끼 해결했습니다. 푸짐한 양에 깔끔한 서비스까지 더해져 만족스러운 식사였습니다.,해장요리전문 임사부국밥 미사점
국밥집 분위기가 너무 좋아요. 아늑하고 편안한 느낌이에요. 맛도 일품이고 직원분들도 친절해서 자주 찾게 될 것 같아요!,해장요리전문 임사부국밥 미사점
비오는날엔 바이더크릭의 을지로골뱅이가 생각난다죠!신랑이랑 댕댕이랑 같이 출동했습니다😄골뱅이랑 옛날통닭이랑 최애메뉴❤️루프탑에서 미사호수공원 뷰 보며 캠핑 느낌으로 따뜻하고 맛있게 먹었어요~댕댕이랑 같이 가면 챙겨주시는 댕댕이먹태😆자기건줄 아는지 킁킁 난리입니다 ㅋㅋㅋ미사 루프탑 뷰 맛집 바이더크릭 최고👍,바이더크릭(by the creek)
맛있구 뷰가좋아요가을에 딱 좋습니다,바이더크릭(by the creek)
날은덥지. 분위기가 좋았습니다먹태소스맛이 조금 아쉽긴했어요,바이더크릭(by the creek)
위치가 넘 좋아요 공기 좋은 날 호수 바라보면서 여유부리기 좋음 바이젠 맛있고 미사수제맥주는 잘모르겠어요 기본 안주 팝콘이 살찔거같은데 넘 맛있어서 순삭함 ㅠㅠ 맥주를 부르는 맛이에요,바이더크릭(by the creek)
♡,바이더크릭(by the creek)
