한식포차라니... 메뉴가 대박이에요🙉 냉삼 제육 닭도리탕 청국장 도토리묵 등등... 다 너무좋아하는데ㅋㅋ 특히 이동네에선 맛볼수없었던 갑오징어 숙회♡ 쫀득하고 너무 맛있었습니다ㅠ 잔치국수도요^^ 사장님도 친절하시고 웃으며 맞아주셔서 좋았어요~~ 자주갈께요 대박나세요🤩,두숫놈
갑오징어 숙회 너무 맛있게 먹었어요~  콩나물국 없어진건 너무 슬프지만ㅠ,두숫놈
마감시간 임박해서 갔는데 포장주문 친절하게 받아주시고 서비스 음료도 주셔서 감사했어요!! 돼지국밥+매콤해장국밥+떡갈비 2인세트 주문했는데 양도  푸짐하고 국물 진한데 냄새도 안나고 맛있었어요!! 떡갈비도 사이드로 먹기 좋았어요! 담엔 다른 메뉴 도전하려구요!! 😋,해장요리전문 임사부국밥 미사점
위치가 정말 좋아요 교통도 편리하고 찾기도 쉽더라구요 주차도 가능해서 이용하기 편해요,해장요리전문 임사부국밥 미사점
코젤 러버인데.. 시나몬 가루 많이 뿌려주셔요~~🩷 미사주민 아닌데도 자주 와서 먹을 정도로 좋아요!!! 미사호수공원 경치도 최고입니당. 🫶🏻,바이더크릭(by the creek)
분위기 좋아요^^!!,바이더크릭(by the creek)
술상한상 너무 다양하고 음식이 너무 맛있어요 😍 리버뷰에 조명이 너무 이뻐요 데이트 하러 오기 너무 좋아요 이런곳이 미사에 있었다니 ㅠ 특히 가격대비 안주 쿼리티가 너무 좋습니다 연어랑 육회에 떡볶이 김치전.. 사장님한테 취향을 간파당한 느낌이었어요 좋아하는 음식들로만 구성되어있다니.. 사장님이 소믈리에 출신이시라 어울리는 안주 구성을 잘아시는거같아요 너무 맛있었고 저랑 남자친구 둘다 너무 만족했던 식사었어요 차돌떡볶이 한번 더 시킨건 안비밀...,카멜레온 다이닝(CHAMELEON DINING)
뷰가 너무 좋고 연어샐러드가 넘 신선하구 맛있었어요사진도 넘 잘나오구분위기도 좋아서 대화하기도 좋았어요!!!정말 특별한 파스타까지 맛있게먹구위치 넘 좋아요 먹구 산책하기도 딱 좋음🧚🏻우유 아이스크림까지 브런치 오픈기념 서비스로 주셨는데 디저트까지 완벽❤️ 했습니다데이트장소로 넘 좋은것같아요😆👍👍👍,카멜레온 다이닝(CHAMELEON DINING)
하남경찰서앞에 간단하게 먹을 수 있는 칼국수집이에요! 얼큰한 해장국과 감자탕고기와 함께 든든하게먹을 수 있어요 ! 고기도 부드럽고 칼국수면도 간이 잘 베어있네요. 아이도 같이 다녀왔는데 적당히 매운맛에 아이도 잘먹더라구요 👀  야채도 모두 신선하고 매장도 깔끔하고 직원분들모두 친절하셔서 기분좋게 먹고왔습니다 ✨,낙원할머니뼛칼 본점
맛있습니다. 시아버님 모시고 방문 하였는데 다음에 지나가며 또 오자고 하셨어요. 뼈칼국수라는 메뉴 자체가 칼캏하니 매력있고 석박지도 새콤히니 맛있습니다. 사장님도 친절하세요~ 매장도 깨끗합니다,낙원할머니뼛칼 본점
